# Feed Mass Frac,Mono to Di Ratio,Temperature,Density,Osmotic Pressure
3.500000e-02,4.000000e+00,3.381500e+02,nan,nan
3.500000e-02,4.000000e+00,3.481500e+02,nan,nan
3.500000e-02,4.000000e+00,3.581500e+02,nan,nan
3.500000e-02,4.000000e+00,3.681500e+02,nan,nan
5.000000e-02,2.500000e-01,2.981500e+02,nan,nan
5.000000e-02,2.500000e-01,3.081500e+02,nan,nan
5.000000e-02,2.500000e-01,3.181500e+02,nan,nan
5.000000e-02,2.500000e-01,3.281500e+02,nan,nan
5.000000e-02,2.500000e-01,3.381500e+02,nan,nan
5.000000e-02,2.500000e-01,3.481500e+02,nan,nan
5.000000e-02,2.500000e-01,3.581500e+02,nan,nan
5.000000e-02,2.500000e-01,3.681500e+02,nan,nan
5.000000e-02,5.000000e-01,2.981500e+02,nan,nan
5.000000e-02,5.000000e-01,3.081500e+02,nan,nan
5.000000e-02,5.000000e-01,3.181500e+02,nan,nan
5.000000e-02,5.000000e-01,3.281500e+02,nan,nan
5.000000e-02,5.000000e-01,3.381500e+02,nan,nan
5.000000e-02,5.000000e-01,3.481500e+02,nan,nan
5.000000e-02,5.000000e-01,3.581500e+02,nan,nan
5.000000e-02,5.000000e-01,3.681500e+02,nan,nan
5.000000e-02,1.000000e+00,2.981500e+02,nan,nan
5.000000e-02,1.000000e+00,3.081500e+02,nan,nan
5.000000e-02,1.000000e+00,3.181500e+02,nan,nan
5.000000e-02,1.000000e+00,3.281500e+02,nan,nan
5.000000e-02,1.000000e+00,3.381500e+02,nan,nan
5.000000e-02,1.000000e+00,3.481500e+02,nan,nan
5.000000e-02,1.000000e+00,3.581500e+02,nan,nan
5.000000e-02,1.000000e+00,3.681500e+02,nan,nan
5.000000e-02,2.000000e+00,2.981500e+02,nan,nan
5.000000e-02,2.000000e+00,3.081500e+02,nan,nan
5.000000e-02,2.000000e+00,3.181500e+02,nan,nan
5.000000e-02,2.000000e+00,3.281500e+02,nan,nan
5.000000e-02,2.000000e+00,3.381500e+02,nan,nan
5.000000e-02,2.000000e+00,3.481500e+02,nan,nan
5.000000e-02,2.000000e+00,3.581500e+02,nan,nan
5.000000e-02,2.000000e+00,3.681500e+02,nan,nan
5.000000e-02,4.000000e+00,2.981500e+02,nan,nan
5.000000e-02,4.000000e+00,3.081500e+02,nan,nan
5.000000e-02,4.000000e+00,3.181500e+02,nan,nan
5.000000e-02,4.000000e+00,3.281500e+02,nan,nan
5.000000e-02,4.000000e+00,3.381500e+02,nan,nan
5.000000e-02,4.000000e+00,3.481500e+02,nan,nan
5.000000e-02,4.000000e+00,3.581500e+02,nan,nan
5.000000e-02,4.000000e+00,3.681500e+02,nan,nan
1.000000e-01,2.500000e-01,2.981500e+02,nan,nan
1.000000e-01,2.500000e-01,3.081500e+02,nan,nan
1.000000e-01,2.500000e-01,3.181500e+02,nan,nan
1.000000e-01,2.500000e-01,3.281500e+02,nan,nan
1.000000e-01,2.500000e-01,3.381500e+02,nan,nan
1.000000e-01,2.500000e-01,3.481500e+02,nan,nan
1.000000e-01,2.500000e-01,3.581500e+02,nan,nan
1.000000e-01,2.500000e-01,3.681500e+02,nan,nan
1.000000e-01,5.000000e-01,2.981500e+02,nan,nan
1.000000e-01,5.000000e-01,3.081500e+02,nan,nan
1.000000e-01,5.000000e-01,3.181500e+02,nan,nan
1.000000e-01,5.000000e-01,3.281500e+02,nan,nan
1.000000e-01,5.000000e-01,3.381500e+02,nan,nan
1.000000e-01,5.000000e-01,3.481500e+02,nan,nan
1.000000e-01,5.000000e-01,3.581500e+02,nan,nan
1.000000e-01,5.000000e-01,3.681500e+02,nan,nan
1.000000e-01,1.000000e+00,2.981500e+02,nan,nan
1.000000e-01,1.000000e+00,3.081500e+02,nan,nan
1.000000e-01,1.000000e+00,3.181500e+02,nan,nan
1.000000e-01,1.000000e+00,3.281500e+02,nan,nan
1.000000e-01,1.000000e+00,3.381500e+02,nan,nan
1.000000e-01,1.000000e+00,3.481500e+02,nan,nan
1.000000e-01,1.000000e+00,3.581500e+02,nan,nan
1.000000e-01,1.000000e+00,3.681500e+02,nan,nan
1.000000e-01,2.000000e+00,2.981500e+02,nan,nan
1.000000e-01,2.000000e+00,3.081500e+02,nan,nan
1.000000e-01,2.000000e+00,3.181500e+02,nan,nan
1.000000e-01,2.000000e+00,3.281500e+02,nan,nan
1.000000e-01,2.000000e+00,3.381500e+02,nan,nan
1.000000e-01,2.000000e+00,3.481500e+02,nan,nan
1.000000e-01,2.000000e+00,3.581500e+02,nan,nan
1.000000e-01,2.000000e+00,3.681500e+02,nan,nan
1.000000e-01,4.000000e+00,2.981500e+02,nan,nan
1.000000e-01,4.000000e+00,3.081500e+02,nan,nan
1.000000e-01,4.000000e+00,3.181500e+02,nan,nan
1.000000e-01,4.000000e+00,3.281500e+02,nan,nan
1.000000e-01,4.000000e+00,3.381500e+02,nan,nan
1.000000e-01,4.000000e+00,3.481500e+02,nan,nan
1.000000e-01,4.000000e+00,3.581500e+02,nan,nan
1.000000e-01,4.000000e+00,3.681500e+02,nan,nan
