# Feed Mass Frac,Mono to Di Ratio,Temperature,Density,Enthalpy,Vapor Pressure
1.000000e-03,1.000000e+00,2.981500e+02,9.977157e+02,-1.044032e+05,3.126369e+03
1.000000e-03,1.000000e+00,3.081500e+02,9.946896e+02,-1.461001e+05,5.551155e+03
1.000000e-03,1.000000e+00,3.181500e+02,9.908614e+02,-1.878882e+05,9.458658e+03
1.000000e-03,1.000000e+00,3.281500e+02,9.863370e+02,-2.297991e+05,1.552679e+04
1.000000e-03,1.000000e+00,3.381500e+02,9.811926e+02,-2.718653e+05,2.463977e+04
1.000000e-03,1.000000e+00,3.481500e+02,9.754846e+02,-3.141301e+05,3.791537e+04
1.000000e-03,1.000000e+00,3.581500e+02,9.692549e+02,-3.566506e+05,5.672666e+04
1.000000e-03,1.000000e+00,3.681500e+02,9.625347e+02,-3.994975e+05,8.271636e+04
1.000000e-03,2.000000e+00,2.981500e+02,9.977790e+02,-1.043908e+05,3.126167e+03
1.000000e-03,2.000000e+00,3.081500e+02,9.947516e+02,-1.460838e+05,5.550791e+03
1.000000e-03,2.000000e+00,3.181500e+02,9.909225e+02,-1.878681e+05,9.458032e+03
1.000000e-03,2.000000e+00,3.281500e+02,9.863974e+02,-2.297751e+05,1.552576e+04
1.000000e-03,2.000000e+00,3.381500e+02,9.812526e+02,-2.718372e+05,2.463812e+04
1.000000e-03,2.000000e+00,3.481500e+02,9.755444e+02,-3.140978e+05,3.791283e+04
1.000000e-03,2.000000e+00,3.581500e+02,9.693147e+02,-3.566137e+05,5.672284e+04
1.000000e-03,2.000000e+00,3.681500e+02,9.625947e+02,-3.994558e+05,8.271079e+04
1.000000e-03,3.000000e+00,2.981500e+02,9.978089e+02,-1.043850e+05,3.126071e+03
1.000000e-03,3.000000e+00,3.081500e+02,9.947808e+02,-1.460762e+05,5.550619e+03
1.000000e-03,3.000000e+00,3.181500e+02,9.909513e+02,-1.878586e+05,9.457736e+03
1.000000e-03,3.000000e+00,3.281500e+02,9.864259e+02,-2.297637e+05,1.552527e+04
1.000000e-03,3.000000e+00,3.381500e+02,9.813298e+02,-2.718162e+05,2.463793e+04
1.000000e-03,3.000000e+00,3.481500e+02,9.756075e+02,-3.140762e+05,3.791228e+04
1.000000e-03,3.000000e+00,3.581500e+02,9.693434e+02,-3.565962e+05,5.672105e+04
1.000000e-03,3.000000e+00,3.681500e+02,9.626230e+02,-3.994361e+05,8.270817e+04
5.000000e-03,3.333333e-01,2.981500e+02,1.001063e+03,-1.039068e+05,3.123980e+03
